<UciProtocol (pid=18890)>: Unexpected engine output: 'option name Hash type spin default 1024 min 1 max 131072'
<UciProtocol (pid=18890)>: Unexpected engine output: 'option name Clear Hash type button'
<UciProtocol (pid=18890)>: Unexpected engine output: 'option name EvalFile type string default nn-62ef826d1a6d.nnue'
Test 79/100 -- depth=15; nodes=3955839; time=5.65s; nps=700 knps
Test 80/100 -- depth=15; nodes=4505587; time=4.489s; nps=1004 knps
Test 81/100 -- depth=15; nodes=2326245; time=2.946s; nps=790 knps
Test 82/100 -- depth=15; nodes=370558; time=1.406s; nps=264 knps
Test 83/100 -- depth=15; nodes=3321502; time=3.015s; nps=1102 knps
Test 84/100 -- depth=15; nodes=2166925; time=8.699s; nps=249 knps
Test 85/100 -- depth=15; nodes=1136811; time=1.726s; nps=659 knps
Test 86/100 -- depth=15; nodes=1700298; time=2.572s; nps=661 knps
Test 87/100 -- depth=15; nodes=1413078; time=1.749s; nps=808 knps
Test 88/100 -- depth=15; nodes=5425804; time=3.531s; nps=1537 knps
Test 89/100 -- depth=15; nodes=7567059; time=6.425s; nps=1178 knps
Test 90/100 -- depth=15; nodes=1545267; time=2.368s; nps=653 knps
Test 91/100 -- depth=15; nodes=2743806; time=3.657s; nps=750 knps
Test 92/100 -- depth=15; nodes=417700; time=2.275s; nps=184 knps
Test 93/100 -- depth=15; nodes=7011216; time=7.171s; nps=978 knps
Test 94/100 -- depth=15; nodes=7432350; time=8.374s; nps=888 knps
Test 95/100 -- depth=15; nodes=1913749; time=1.738s; nps=1101 knps
Test 96/100 -- depth=15; nodes=1354472; time=1.584s; nps=855 knps
Test 97/100 -- depth=15; nodes=544164; time=0.885s; nps=615 knps
Test 98/100 -- depth=15; nodes=10707241; time=11.677s; nps=917 knps
Test 99/100 -- depth=15; nodes=2135125; time=1.91s; nps=1118 knps
Test 100/100 -- depth=15; nodes=199263; time=0.219s; nps=910 knps
========================================================================
Total nodes=251179996; time=289.17s
Avg. nodes=2511800; avg. time=2.89s; nps=869 knps
