<UciProtocol (pid=19466)>: Unexpected engine output: 'option name Hash type spin default 1024 min 1 max 131072'
<UciProtocol (pid=19466)>: Unexpected engine output: 'option name Clear Hash type button'
<UciProtocol (pid=19466)>: Unexpected engine output: 'option name EvalFile type string default nn-62ef826d1a6d.nnue'
Test 85/100 -- depth=15; nodes=323329; time=0.557s; nps=580 knps
Test 86/100 -- depth=15; nodes=320829; time=0.698s; nps=460 knps
Test 87/100 -- depth=15; nodes=71573; time=0.077s; nps=930 knps
Test 88/100 -- depth=15; nodes=334388; time=0.395s; nps=847 knps
Test 89/100 -- depth=15; nodes=844837; time=1.063s; nps=795 knps
Test 90/100 -- depth=15; nodes=140014; time=0.33s; nps=424 knps
Test 91/100 -- depth=15; nodes=114939; time=0.181s; nps=635 knps
Test 92/100 -- depth=15; nodes=215390; time=0.285s; nps=756 knps
Test 93/100 -- depth=15; nodes=8007; time=0.188s; nps=43 knps
Test 94/100 -- depth=15; nodes=128117; time=0.303s; nps=423 knps
Test 95/100 -- depth=15; nodes=860837; time=1.104s; nps=780 knps
Test 96/100 -- depth=15; nodes=221753; time=0.45s; nps=493 knps
Test 97/100 -- depth=15; nodes=138034; time=0.202s; nps=683 knps
Test 98/100 -- depth=15; nodes=37416; time=0.233s; nps=161 knps
Test 99/100 -- depth=15; nodes=447162; time=0.431s; nps=1037 knps
Test 100/100 -- depth=15; nodes=85053; time=0.039s; nps=2181 knps
========================================================================
Total nodes=30883785; time=41.55s
Avg. nodes=308838; avg. time=0.42s; nps=743 knps
